Feature,Class,Probability,MeanBeta
BA294,0,0.588,0.13119455654523507
BA294,1,0.397,-0.16056600674160484
BA302,0,0.352,-0.23414843299083668
BA302,1,0.666,0.26273992449310823
BA304,0,0.088,-0.8626606089327172
BA304,1,0.91,0.8799142275377703
BA310,0,0.565,0.11774840450487958
BA310,1,0.396,-0.14878217183593972
BA312,0,0.751,0.38268734916422453
BA312,1,0.305,-0.32939459690694656
BA313,0,0.828,0.5913145001488185
BA313,1,0.152,-0.5992515369797214
BA315,0,0.78,0.4104979175619025
BA315,1,0.24,-0.4071444860579082
BA316,0,0.414,-0.13671777433195562
BA316,1,0.573,0.12184988989462676
BA318,0,0.474,-0.03133640580689678
BA318,1,0.497,0.021150672509438237
BA319,0,0.501,0.0072137413536761735
BA319,1,0.524,0.04443496389806642
BA325,0,0.738,0.41432214109251286
BA325,1,0.235,-0.424321278853696
BA329,0,0.858,0.6260425681096558
BA329,1,0.137,-0.6544248151303109
BA331,0,0.5,0.001297284215405892
BA331,1,0.508,0.021790751366442016
BA333,0,0.508,0.01181790670253486
BA333,1,0.499,0.005056066003244044
BA336,0,0.922,0.8725217871894828
BA336,1,0.094,-0.8399777146546171
BA339,0,0.539,0.0708233820180067
BA339,1,0.451,-0.07355975114419304
BA340,0,0.497,-0.021285477788834
BA340,1,0.504,0.005139510941111318
BA345,0,0.51,0.009748855927524676
BA345,1,0.489,0.004207913741944097
BA346,0,0.467,-0.05306906160838132
BA346,1,0.563,0.09987306571791942
BA352,0,0.465,-0.040535624138961286
BA352,1,0.506,0.01632294721131742
BA353,0,0.497,-0.02072634869129528
BA353,1,0.51,0.03417729600803987
BA356,0,0.5,-0.038381507183784476
BA356,1,0.5,0.017860401958323162
BA358,0,0.491,-0.002530619433914442
BA358,1,0.502,-0.0020588452286604496
BA359,0,0.43,-0.10557798189076267
BA359,1,0.555,0.07399485542808688
BA362,0,0.803,0.5523318315526602
BA362,1,0.189,-0.5776884666912399
BA366,0,0.579,0.09090738771077748
BA366,1,0.424,-0.10123051876247573
BA369,0,0.942,0.9414063567735154
BA369,1,0.071,-0.9381585819271635
BA373,0,0.474,-0.00927730951153688
BA373,1,0.517,0.023290553396385926
BA378,0,0.491,-0.038691528104998416
BA378,1,0.474,-0.029908537132631533
BA380,0,0.729,0.41246092495485875
BA380,1,0.279,-0.39907966932055583
BA381,0,0.587,0.12941490655077054
BA381,1,0.415,-0.12931807854573024
BA383,0,0.504,-0.003257846541325384
BA383,1,0.525,0.025142024750240546
BA385,0,0.831,0.6237346091661512
BA385,1,0.157,-0.6190103058462839
BA389,0,0.331,-0.28678298117918133
BA389,1,0.682,0.3070681552318906
BA392,0,0.954,1.0580907419375079
BA392,1,0.045,-1.06599592653864
BA395,0,0.577,0.12250806334612896
BA395,1,0.407,-0.12938365571642627
BA396,0,0.501,0.0009459272067644757
BA396,1,0.536,0.059127194117779495
BA399,0,0.52,0.011515616354797045
BA399,1,0.491,-0.02994811987419674
BA402,0,0.886,0.705517590560217
BA402,1,0.109,-0.7421909028675719
BA407,0,0.898,0.8330200834302584
BA407,1,0.097,-0.829037004435896
BA416,0,0.274,-0.36133021500568513
BA416,1,0.711,0.36268451983987393
BA419,0,0.529,0.032980596986515384
BA419,1,0.47,-0.03383565024778901
BA423,0,0.49,0.006469610688882342
BA423,1,0.512,0.02933858135028526
BA428,0,0.51,0.0024429973367949983
BA428,1,0.516,0.03716926405007181
BA431,0,0.497,0.01852838336079409
BA431,1,0.498,0.007171007536342301
BA436,0,0.81,0.5745789599596428
BA436,1,0.175,-0.5511846398254653
BA441,0,0.468,-0.03442216867873672
BA441,1,0.515,0.03266466574366464
BA443,0,0.496,-0.01522299994586009
BA443,1,0.517,0.005942643597959785
BA444,0,0.506,0.00633019635888157
BA444,1,0.511,0.031104464755859613
BA447,0,0.495,-0.02181559600935952
BA447,1,0.5,0.015994826558296277
BA456,0,0.467,-0.04874027486884302
BA456,1,0.519,0.016336531518964886
BA457,0,0.862,0.6991865422273902
BA457,1,0.138,-0.7160136802061942
BA461,0,0.528,0.029786008695149475
BA461,1,0.487,-0.020183147782309403
BA466,0,0.411,-0.16043779164395966
BA466,1,0.617,0.2126952797621576
BA468,0,0.509,0.012406656480493166
BA468,1,0.492,-0.02002848967023635
BA471,0,0.707,0.3178550649320757
BA471,1,0.296,-0.32396972031762367
BA474,0,0.848,0.67627164338393
BA474,1,0.15,-0.6675272730758056
BA475,0,0.499,-0.007233866547786748
BA475,1,0.486,-0.038262327485525244
BA476,0,0.703,0.3037267861222556
BA476,1,0.306,-0.28436825945893124
BA478,0,0.523,0.02786983913664628
BA478,1,0.492,-0.011630573816676672
BA481,0,0.665,0.2443138640027134
BA481,1,0.362,-0.22321004088809404
BA487,0,0.922,0.8914666916180851
BA487,1,0.081,-0.8777221813992299
BA489,0,0.471,-0.03620357134442796
BA489,1,0.533,0.039382922093687205
BA492,0,0.441,-0.10752045738672913
BA492,1,0.591,0.12053549901758906
BA495,0,0.338,-0.2368511084978202
BA495,1,0.624,0.19792325322726637
BA501,0,0.414,-0.12039860129725537
BA501,1,0.567,0.10163851605084843
BA507,0,0.677,0.27921629706247164
BA507,1,0.288,-0.34049980432840443
