Feature,Class,Probability,MeanBeta
BA51,4,0.654,0.24706341939366386
BA51,5,0.664,0.28013579397774846
BA51,6,0.625,0.21885056873890904
BA51,7,0.666,0.2584723299621895
BA51,8,0.706,0.2984709437922168
BA59,0,0.435,-0.0858767882115878
BA59,1,0.46,-0.06489088735395067
BA59,2,0.434,-0.11009464892397437
BA59,3,0.422,-0.09304129276488497
BA59,4,0.433,-0.09137575133567115
BA59,5,0.474,-0.04710371527758627
BA59,6,0.496,-0.007128332574512467
BA59,7,0.484,-0.021898626193294933
BA59,8,0.794,0.489099898884411
BA62,0,0.651,0.22623943137996286
BA62,1,0.701,0.347925655034059
BA62,2,0.698,0.31587804457507224
BA62,3,0.698,0.31121861673505513
BA62,4,0.55,0.1078348817617724
BA62,5,0.672,0.28399782315298033
BA62,6,0.704,0.3678853418563693
BA62,7,0.668,0.28561082613308586
BA62,8,0.655,0.24746554653747507
BA63,0,0.688,0.3269040765110471
BA63,1,0.694,0.297814429156891
BA63,2,0.648,0.2668353036075124
BA63,3,0.642,0.25174892443990193
BA63,4,0.651,0.2502821087119663
BA63,5,0.678,0.2712924501966133
BA63,6,0.664,0.26191590075468585
BA63,7,0.666,0.2942428910158471
BA63,8,0.655,0.2639873009446824
BA65,0,0.673,0.2894928233147337
BA65,1,0.664,0.2770118092661739
BA65,2,0.659,0.26229981584771783
BA65,3,0.676,0.3000327554826376
BA65,4,0.656,0.2870601863180419
BA65,5,0.665,0.266185258467765
BA65,6,0.636,0.22288389463003697
BA65,7,0.639,0.20855122833201828
BA65,8,0.65,0.23823530519151992
BA70,0,0.598,0.1739717521228484
BA70,1,0.715,0.3522247320196757
BA70,2,0.795,0.5471750508063034
BA70,3,0.642,0.21362122528300448
BA70,4,0.599,0.17571678810098437
BA70,5,0.665,0.2722646679848581
BA70,6,0.676,0.2951595772908473
BA70,7,0.634,0.21997950944055414
BA70,8,0.606,0.18692619693953016
BA74,0,0.425,-0.12782648191361112
BA74,1,0.419,-0.09603218557004764
BA74,2,0.369,-0.18578910260866643
BA74,3,0.879,0.6603135104905351
BA74,4,0.432,-0.0842256178452088
BA74,5,0.446,-0.08704358873395403
BA74,6,0.464,-0.053760072050223956
BA74,7,0.459,-0.06066712704316811
BA74,8,0.558,0.07706304817965572
BA77,0,0.698,0.29824814012427775
BA77,1,0.673,0.29957181551753675
BA77,2,0.656,0.28011927790260854
BA77,3,0.672,0.28804668917381177
BA77,4,0.65,0.25108032731273083
BA77,5,0.632,0.2411507913190765
BA77,6,0.654,0.28468692643903876
BA77,7,0.656,0.2708672499623671
BA77,8,0.666,0.22994930857333656
BA81,0,0.694,0.32783588000932357
BA81,1,0.674,0.2905230537280392
BA81,2,0.666,0.26483430901053234
BA81,3,0.688,0.3051248296353075
BA81,4,0.64,0.2388137227769698
BA81,5,0.663,0.28167893383846304
BA81,6,0.656,0.2528211975640055
BA81,7,0.661,0.2658991076442324
BA81,8,0.674,0.29004831641695417
BA84,0,0.679,0.2686558011198957
BA84,1,0.687,0.2906551071049437
BA84,2,0.672,0.29243649461739896
BA84,3,0.647,0.258012551723587
BA84,4,0.677,0.281472106607889
BA84,5,0.669,0.2889000088643135
BA84,6,0.655,0.24024720081848008
BA84,7,0.666,0.23566958551071238
BA84,8,0.641,0.26587925465238293
BA99,0,0.307,-0.27724526066717364
BA99,1,0.569,0.11302948941587496
BA99,2,0.673,0.24573184905888062
BA99,3,0.592,0.13141702130421598
BA99,4,0.861,0.6720585165993161
BA99,5,0.676,0.2940783305819396
BA99,6,0.353,-0.23050322246492372
BA99,7,0.39,-0.17363879755130887
BA99,8,0.647,0.22341166037253316
BA105,0,0.515,0.028847817417173963
BA105,1,0.486,-0.035463037177858266
BA105,2,0.214,-0.5137407927897677
BA105,3,0.45,-0.08190491960966895
BA105,4,0.646,0.2567806292936175
BA105,5,0.45,-0.06839472831768481
BA105,6,0.288,-0.3462203788794051
BA105,7,0.37,-0.17588695996195708
BA105,8,0.942,0.9882555954247031
BA108,0,0.491,-0.002742411036103835
BA108,1,0.473,-0.039242205194114844
BA108,2,0.433,-0.10188679211569061
BA108,3,0.451,-0.06312141381839856
BA108,4,0.445,-0.06617611320650542
BA108,5,0.485,-0.02087305229326561
BA108,6,0.497,-0.008078221718228386
